gender,age,height,weight,alcoholConsumption,beer,softDrink,pizzaSlice
man,29,175,80904,regular,5,4,8
woman,30,150,44085,regular,3,3,6
woman,30,165,76323,seasoned,5,3,9
man,45,178,87192,never,0,2,4
woman,23,162,72395,casual,0,5,6
woman,38,160,54630,seasoned,3,3,7
man,30,184,80977,never,0,1,2
man,54,174,76819,casual,2,4,5
woman,35,166,50979,never,0,2,3
man,26,167,64411,seasoned,5,2,5
man,28,170,74613,regular,5,4,7
man,25,173,61013,regular,3,4,6
man,45,172,79480,seasoned,7,4,5
woman,36,161,60425,casual,1,3,4
woman,44,167,57331,never,0,2,4
woman,26,168,80616,regular,3,5,7
woman,51,173,65481,seasoned,4,2,5
woman,39,159,60385,never,0,3,4
woman,22,165,63245,casual,1,6,6
woman,28,166,58595,seasoned,4,1,9
woman,47,168,65005,seasoned,4,4,6
woman,38,165,61521,casual,1,8,5
woman,52,172,66399,casual,1,4,3
man,25,175,84101,seasoned,5,2,9
man,51,161,57092,never,0,2,3
man,24,180,68944,casual,2,4,4
woman,41,157,53911,regular,2,3,5
woman,33,164,60279,seasoned,3,4,7
man,19,188,99982,seasoned,6,3,9
man,40,186,84487,seasoned,7,2,8
woman,26,154,62324,casual,0,4,4
man,49,187,78949,regular,4,5,4
man,26,169,73451,never,0,2,2
woman,42,171,79919,regular,2,4,4
man,38,170,61601,seasoned,8,1,5
man,35,173,81214,seasoned,7,2,6
man,44,174,76136,regular,5,2,4
man,53,164,59628,seasoned,9,1,5
man,46,183,61955,casual,1,4,4
woman,53,165,64612,casual,1,5,4
woman,53,167,60232,never,0,3,3
man,28,170,77108,casual,1,7,4
woman,52,163,69443,regular,2,4,6
woman,48,166,76707,regular,3,2,7
woman,24,170,73272,casual,1,5,6
woman,45,169,59659,regular,2,4,6
woman,44,163,49153,regular,2,3,4
woman,19,157,60559,casual,1,6,7
woman,38,166,59539,never,0,2,3
woman,33,155,63961,seasoned,5,2,8
man,31,179,74840,casual,2,5,4
woman,51,167,73490,casual,1,5,5
woman,40,166,73776,seasoned,5,2,7
woman,40,160,60028,never,0,2,3
woman,46,175,80724,seasoned,3,3,8
man,36,170,73257,regular,3,3,5
woman,25,165,57317,seasoned,4,3,5
woman,28,177,75007,regular,3,3,6
woman,24,157,58056,regular,3,3,5
man,21,176,89123,casual,1,5,6
woman,42,165,50366,never,0,2,2
man,42,189,73752,casual,2,5,4
woman,27,174,89077,casual,1,5,4
woman,21,171,72415,regular,3,3,8
woman,45,165,64722,casual,1,5,4
woman,39,172,74849,casual,1,5,6
woman,25,150,47370,seasoned,7,1,8
woman,38,167,54610,never,0,2,2
woman,54,162,66695,seasoned,3,1,7
woman,42,164,65529,casual,1,3,4
man,49,163,69677,seasoned,8,1,6
woman,30,163,68349,seasoned,3,3,5
man,31,193,96062,seasoned,4,3,8
man,43,172,75433,regular,3,4,6
woman,35,172,64536,regular,2,4,6
woman,33,165,57007,seasoned,3,1,6
woman,30,172,65434,casual,2,4,5
man,39,174,82453,never,0,2,2
man,54,176,64399,regular,5,2,6
woman,25,162,53743,never,0,3,2
man,38,193,107215,casual,1,5,4
woman,44,173,74641,regular,2,4,5
man,19,178,73875,casual,1,5,4
man,50,184,102793,never,0,2,3
woman,51,173,75346,seasoned,4,3,8
man,35,193,104275,casual,1,4,4
woman,35,172,67485,casual,0,4,4
woman,22,176,81350,casual,1,7,7
woman,26,154,49387,never,0,3,1
woman,38,171,64033,seasoned,4,3,9
man,45,164,64929,casual,1,4,5
man,33,181,83872,seasoned,6,3,5
man,42,184,75191,seasoned,6,2,7
woman,51,162,69938,casual,0,5,4
man,31,180,72237,casual,1,6,5
man,18,180,71383,regular,4,4,5
man,40,179,88714,never,0,2,3
man,49,177,81465,seasoned,6,2,8
woman,31,164,59852,casual,2,4,5
man,49,177,76420,seasoned,5,1,6
man,48,173,70669,never,0,2,2
woman,38,168,75173,casual,1,4,4
man,22,172,94504,casual,2,3,7
man,50,177,82148,regular,3,3,6
man,53,176,70828,seasoned,7,1,7
man,34,177,89327,seasoned,9,2,9
woman,46,156,54631,regular,2,3,6
man,24,166,70033,never,0,2,3
man,51,187,73689,seasoned,11,2,7
man,36,190,84813,casual,1,3,5
woman,34,164,66262,seasoned,4,2,6
woman,34,169,75494,regular,2,3,5
woman,30,164,67876,seasoned,3,1,6
man,33,186,67711,regular,4,2,6
woman,24,176,80681,seasoned,6,2,10
man,29,171,82503,regular,5,2,5
man,30,170,79305,casual,0,4,4
woman,50,159,60330,never,0,2,3
man,35,189,111602,seasoned,6,1,10
man,21,182,94497,seasoned,7,1,8
woman,43,167,66083,casual,1,5,4
man,20,175,82702,casual,2,6,6
woman,18,175,64840,never,0,2,3
man,43,185,73465,casual,2,4,5
woman,29,179,83455,seasoned,5,2,7
man,40,181,72400,casual,3,6,4
man,51,174,105885,seasoned,6,1,8
woman,36,168,71363,casual,1,5,4
man,43,182,61279,never,0,3,2
woman,51,161,65034,never,0,2,2
woman,21,160,65921,regular,2,3,4
woman,27,170,62953,seasoned,6,2,7
woman,41,171,61823,casual,1,5,4
woman,41,158,69325,casual,1,5,5
woman,44,163,72691,casual,2,5,6
man,50,174,58305,seasoned,5,2,6
man,47,180,74585,casual,3,6,5
man,35,189,84519,casual,1,4,6
man,43,173,60785,regular,5,3,6
man,54,180,72510,regular,6,3,4
man,30,180,85625,regular,3,3,5
man,32,177,90414,never,0,2,3
man,44,181,82924,seasoned,7,1,7
man,45,170,81676,seasoned,9,2,7
woman,32,164,59508,regular,2,3,7
woman,54,164,66421,casual,2,4,4
man,45,177,72177,casual,2,3,4
woman,43,160,75254,regular,2,4,5
man,51,163,59680,seasoned,8,2,6
man,39,171,68609,regular,3,3,6
man,45,178,58615,casual,2,4,4
man,24,177,68882,never,0,2,1
woman,27,173,63177,casual,1,3,5
woman,48,165,71258,casual,1,5,4
woman,27,165,66074,regular,3,5,4
man,38,171,61672,regular,5,4,3
man,37,176,69342,casual,3,6,4
woman,36,165,69900,seasoned,3,2,6
man,24,170,66452,regular,5,4,6
woman,22,173,66353,regular,2,3,6
woman,44,161,67644,casual,1,6,4
woman,49,171,71922,regular,2,4,5
woman,25,170,66830,seasoned,7,2,6
woman,21,167,61893,seasoned,3,5,9
man,47,175,85899,regular,2,3,5
man,51,168,65972,seasoned,5,3,5
woman,19,159,54664,never,0,2,2
woman,41,161,67902,seasoned,3,2,7
man,23,175,71948,regular,4,1,6
man,20,190,82289,casual,2,6,5
man,33,191,89167,regular,3,3,6
man,19,180,69501,seasoned,4,2,7
man,44,182,76518,regular,5,3,3
woman,22,161,63947,never,0,2,2
man,33,161,78090,never,0,2,3
man,47,175,67833,never,0,2,4
man,36,184,67466,regular,4,5,4
woman,28,168,76814,regular,5,2,6
man,19,175,90482,seasoned,5,2,8
woman,38,165,67219,never,0,2,2
woman,22,163,64633,never,0,2,3
woman,44,162,51074,seasoned,4,3,5
man,38,164,58407,regular,5,2,6
woman,54,172,73634,never,0,1,1
man,44,186,102225,casual,2,4,4
man,26,179,80622,seasoned,5,1,9
woman,35,162,68942,seasoned,4,2,9
man,41,184,81135,casual,1,3,4
man,32,184,98291,never,0,2,2
woman,51,170,53465,casual,1,6,4
man,49,183,79675,seasoned,7,1,5
man,33,175,76661,casual,1,4,4
man,35,181,99021,casual,2,4,5
woman,48,154,50663,never,0,2,1
man,37,182,75615,casual,2,3,4
woman,49,166,65186,seasoned,5,2,5
man,23,177,72366,regular,4,2,7
woman,35,175,65829,seasoned,4,1,7
man,20,184,75318,never,0,2,2
man,30,187,93124,seasoned,7,1,6
woman,42,158,59914,regular,3,3,4
man,29,189,99787,casual,1,3,4
woman,47,174,68009,regular,2,2,3
man,50,172,77851,casual,2,4,4
woman,22,167,73943,casual,1,5,5
man,19,176,87250,seasoned,6,2,8
woman,31,165,70432,casual,1,5,4
man,26,183,78789,never,0,2,2
woman,36,157,64568,never,0,3,3
woman,54,170,79159,casual,1,4,5
woman,49,171,74801,casual,0,4,5
man,40,178,65221,never,0,1,1
man,29,180,63388,seasoned,8,1,7
man,50,180,77296,casual,2,3,4
man,38,184,87095,casual,2,3,6
man,22,170,72461,seasoned,8,2,7
man,37,189,82675,regular,3,3,6
man,42,176,70561,never,0,2,2
man,49,183,67667,regular,3,4,7
woman,33,164,56396,casual,1,5,3
man,37,174,82729,regular,6,3,4
woman,34,166,72752,seasoned,4,3,9
woman,33,163,69109,regular,2,3,6
man,37,180,72131,regular,4,3,5
man,32,182,89061,casual,1,4,4
woman,53,165,67310,never,0,3,3
woman,39,165,77508,never,0,2,2
woman,19,173,80533,regular,2,5,7
woman,31,168,68998,casual,1,5,4
man,32,176,76840,never,0,2,2
man,52,174,74033,never,0,2,2
man,19,169,72250,casual,1,6,4
woman,44,171,82231,never,0,2,4
man,45,166,67431,regular,5,5,5
woman,25,166,51739,casual,1,3,4
man,31,178,58615,never,0,2,1
man,28,189,74397,casual,1,3,4
man,42,177,67130,regular,4,3,4
man,31,178,87733,casual,3,3,5
woman,46,175,83056,regular,2,4,7
man,50,172,71648,casual,1,5,6
man,41,178,74391,casual,1,4,4
man,34,190,85290,seasoned,6,2,5
woman,30,161,60464,regular,2,5,5
woman,53,170,62007,regular,2,3,5
man,40,177,72119,casual,3,4,4
man,43,183,79745,regular,5,2,5
woman,44,161,62255,regular,4,4,5
man,48,182,70403,seasoned,7,4,7
man,39,189,80153,never,0,2,4
man,46,179,79805,regular,4,2,5
woman,29,163,57798,never,0,3,3
woman,52,160,62932,casual,1,5,5
man,29,189,97503,never,0,2,4
woman,37,171,90571,never,0,4,3
man,40,181,66742,seasoned,7,1,6
woman,52,165,59853,seasoned,4,4,8
woman,51,169,87528,regular,3,5,6
woman,35,163,66271,casual,1,3,5
man,42,182,79784,never,0,2,4
woman,53,160,51416,regular,2,3,7
man,19,190,89505,casual,2,4,7
woman,36,171,66903,never,0,2,2
man,46,184,96019,never,0,3,3
man,18,177,64567,regular,3,3,7
man,34,173,61701,never,0,2,3
man,54,180,93515,casual,2,3,5
man,45,193,89843,seasoned,8,3,7
man,43,170,65204,casual,2,5,4
woman,46,176,57306,seasoned,5,2,6
woman,40,161,63313,never,0,2,2
woman,23,173,73350,casual,1,6,5
man,30,168,77920,regular,5,3,5
man,23,174,58504,seasoned,8,3,8
woman,41,169,90462,casual,1,4,6
man,40,187,79027,casual,1,5,5
woman,41,168,64645,regular,3,2,6
man,27,183,69528,regular,5,3,6
woman,34,161,73040,regular,3,3,8
woman,26,170,74159,casual,2,4,4
man,36,179,72248,regular,6,1,5
man,27,180,66112,casual,3,2,4
woman,52,166,66058,seasoned,4,1,8
man,40,175,69611,seasoned,10,2,4
woman,46,179,81094,regular,2,3,6
woman,54,163,49153,casual,1,4,5
woman,27,155,51138,casual,1,4,5
man,45,161,52142,casual,2,4,4
woman,48,164,76184,never,0,2,2
woman,51,162,67228,seasoned,4,3,7
woman,22,173,58249,never,0,2,4
man,48,193,76830,casual,1,4,5
man,46,181,76164,regular,5,2,7
man,30,172,66876,casual,1,4,5
woman,19,176,73109,never,0,2,1
woman,29,165,55617,casual,1,7,6
woman,35,161,57411,casual,0,6,4
woman,47,161,54791,casual,1,5,5
man,37,192,95524,seasoned,8,2,8
woman,36,161,61632,never,0,2,2
woman,37,169,65495,never,0,1,3
woman,20,167,73830,casual,1,5,6
woman,45,163,71909,never,0,2,2
woman,28,156,49256,never,0,2,3
man,40,185,78377,seasoned,8,2,7
woman,20,162,68228,regular,3,3,7
man,29,181,67441,regular,5,1,4
man,53,177,98695,seasoned,5,4,7
woman,28,163,50445,seasoned,5,3,7
man,52,185,81770,regular,4,4,6
woman,18,163,63549,casual,1,5,5
woman,52,164,64754,regular,2,4,5
woman,32,165,66989,never,0,3,2
man,23,168,73554,never,0,2,2
woman,54,157,56358,seasoned,4,4,8
man,39,174,56011,seasoned,7,1,5
woman,47,175,72604,never,0,3,2
woman,48,166,68602,casual,1,3,5
woman,51,165,76110,casual,1,4,5
man,49,177,85794,never,0,2,2
man,36,179,79925,never,0,2,2
man,46,160,47360,casual,1,3,4
man,20,181,73726,regular,4,4,5
man,36,174,59092,never,0,2,2
woman,23,172,88776,never,0,2,5
man,43,177,74951,seasoned,7,1,7
man,31,187,81153,regular,5,2,6
man,32,181,81770,never,0,2,2
woman,43,155,54994,regular,2,3,3
woman,22,160,75952,never,0,2,5
man,47,164,70042,seasoned,9,2,6
man,46,182,91316,seasoned,5,2,8
woman,21,164,55172,casual,2,4,3
woman,41,168,56082,seasoned,4,1,6
man,49,178,65033,regular,5,2,5
man,44,178,70398,casual,2,4,5
woman,45,172,72215,casual,1,5,4
woman,25,159,62646,never,0,1,2
woman,39,176,79903,seasoned,3,1,8
woman,31,167,72506,casual,1,3,5
woman,20,167,56922,seasoned,5,2,6
man,49,182,69773,regular,4,2,5
man,40,168,66222,casual,1,2,5
man,46,168,78134,regular,5,3,5
man,52,172,70947,regular,4,5,8
man,31,185,83852,seasoned,7,3,7
man,42,184,85798,regular,3,3,4
man,40,182,76054,regular,6,5,7
man,47,181,65642,casual,2,5,6
man,22,183,69537,regular,3,4,7
woman,43,162,69645,regular,2,5,4
woman,20,169,64455,regular,3,3,6
man,37,174,80312,seasoned,10,3,7
man,21,180,78903,seasoned,6,2,7
man,21,182,87400,regular,4,2,9
woman,39,166,70260,never,0,3,2
man,50,179,66937,regular,5,2,6
man,22,185,69581,regular,3,3,8
woman,24,169,65660,regular,3,4,5
man,25,180,73396,regular,3,3,5
man,53,185,82872,never,0,2,3
man,27,173,55369,casual,1,3,4
woman,49,169,74787,never,0,3,3
woman,22,172,60227,casual,0,5,6
woman,35,174,77027,regular,4,2,4
man,47,172,80740,regular,4,4,4
man,50,190,78292,regular,4,3,8
woman,36,166,79188,regular,3,2,6
man,23,180,77368,seasoned,6,4,5
woman,28,173,70323,regular,3,6,5
man,45,181,69467,regular,3,4,7
man,19,177,65228,seasoned,7,3,8
woman,23,169,69585,regular,4,5,6
woman,46,168,65904,seasoned,4,3,7
woman,42,159,52801,regular,2,4,6
woman,20,162,60105,seasoned,6,3,7
man,29,187,84166,casual,1,4,4
man,19,179,85276,seasoned,6,2,9
man,28,172,72178,casual,1,3,4
man,39,185,79004,regular,5,3,4
man,33,169,74932,never,0,2,2
woman,48,162,54348,never,0,2,1
woman,32,158,71762,regular,3,2,4
woman,52,155,50978,casual,1,3,5
man,26,166,52963,casual,1,4,4
woman,42,172,78772,seasoned,4,3,7
woman,50,158,51432,casual,1,4,4
woman,32,165,56713,casual,1,5,4
man,47,182,90545,seasoned,7,1,6
woman,19,168,80097,seasoned,3,5,10
man,43,177,71931,casual,0,2,5
man,32,188,91538,seasoned,6,2,7
woman,46,168,69915,never,0,2,2
woman,37,159,50752,regular,3,2,5
woman,31,158,64466,casual,1,6,5
man,49,168,63734,seasoned,7,3,5
woman,46,167,71318,seasoned,3,4,8
man,50,177,73638,never,0,3,3
woman,22,178,83857,casual,1,6,5
man,37,164,52454,regular,5,4,6
man,46,187,77456,seasoned,8,3,7
woman,21,157,54616,casual,1,4,4
woman,43,162,61989,seasoned,5,3,5
woman,34,172,63556,casual,1,6,5
woman,42,163,59756,casual,1,3,5
woman,22,174,81116,casual,1,6,6
woman,42,159,65171,casual,2,3,5
man,36,174,56011,never,0,2,2
man,18,178,89488,seasoned,5,2,7
man,36,168,68711,casual,1,4,3
woman,33,175,80412,regular,3,4,4
man,18,172,66715,never,0,2,3
woman,43,158,52166,regular,3,5,4
woman,32,156,59292,regular,2,5,6
woman,39,171,80546,never,0,1,2
man,52,185,79491,regular,4,4,5
woman,29,158,70583,never,0,2,3
man,53,160,64046,regular,5,2,5
woman,28,167,72506,never,0,3,2
woman,29,165,66430,seasoned,4,1,6
woman,36,168,78405,regular,5,3,7
woman,44,162,54693,never,0,3,3
woman,23,166,57571,casual,1,4,4
man,44,182,78785,never,0,3,2
man,46,181,74607,never,0,2,2
woman,45,161,61565,seasoned,4,3,6
